Entity,region,Code,Year,Year of smallpox eradication (WHO (1988))
Afghanistan,South Asia,AFG,0,1972
Albania,Europe and Central Asia,ALB,0,1922
Algeria,Middle East and North Africa,DZA,0,1961
Angola,Sub-Saharan Africa,AGO,0,1959
Argentina,Latin America and Caribbean,ARG,0,1966
Armenia,Europe and Central Asia,ARM,0,1936
Australia,East Asia and Pacific,AUS,0,1917
Austria,Europe and Central Asia,AUT,0,1923
Azerbaijan,South Asia,AZE,0,1936
Bangladesh,South Asia,BGD,0,1975
Belarus,Europe and Central Asia,BLR,0,1936
Belgium,Europe and Central Asia,BEL,0,1926
Belize,Latin America and Caribbean,BLZ,0,1939
Benin,Sub-Saharan Africa,BEN,0,1969
Bhutan,South Asia,BTN,0,1920
Bolivia,Latin America and Caribbean,BOL,0,1960
Bosnia and Herzegovina,Europe and Central Asia,BIH,0,1925
Botswana,Sub-Saharan Africa,BWA,0,1973
Brazil,Latin America and Caribbean,BRA,0,1971
Bulgaria,Europe and Central Asia,BGR,0,1923
Burkina Faso,Sub-Saharan Africa,BFA,0,1968
Burundi,Sub-Saharan Africa,BDI,0,1970
Cambodia,East Asia and Pacific,KHM,0,1959
Cameroon,Sub-Saharan Africa,CMR,0,1968
Canada,North America,CAN,0,1944
Central African Republic,Sub-Saharan Africa,CAF,0,1963
Chad,Sub-Saharan Africa,TCD,0,1965
Chile,Latin America and Caribbean,CHL,0,1954
China,East Asia and Pacific,CHN,0,1961
Colombia,Latin America and Caribbean,COL,0,1965
Congo,Sub-Saharan Africa,COG,0,1965
Costa Rica,Latin America and Caribbean,CRI,0,1920
Cote d'Ivoire,Sub-Saharan Africa,CIV,0,1966
Croatia,Europe and Central Asia,HRV,0,1925
Czechia,Europe and Central Asia,CZE,0,1924
Democratic Republic of Congo,Sub-Saharan Africa,COD,0,1971
Denmark,Europe and Central Asia,DNK,0,1901
Djibouti,Sub-Saharan Africa,DJI,0,1959
Ecuador,Latin America and Caribbean,ECU,0,1963
Egypt,Middle East and North Africa,EGY,0,1948
El Salvador,Latin America and Caribbean,SLV,0,1938
Equatorial Guinea,Sub-Saharan Africa,GNQ,0,1960
Eritrea,Sub-Saharan Africa,ERI,0,1976
Estonia,Europe and Central Asia,EST,0,1936
Eswatini,Sub-Saharan Africa,SWZ,0,1966
Ethiopia,Sub-Saharan Africa,ETH,0,1976
Finland,Europe and Central Asia,FIN,0,1922
France,Europe and Central Asia,FRA,0,1936
French Guiana,Latin America and Caribbean,GUF,0,1904
Gabon,Sub-Saharan Africa,GAB,0,1965
Gambia,Sub-Saharan Africa,GMB,0,1966
Georgia,Europe and Central Asia,GEO,0,1936
Germany,Europe and Central Asia,DEU,0,1922
Ghana,Sub-Saharan Africa,GHA,0,1967
Greece,Europe and Central Asia,GRC,0,1944
Guatemala,Latin America and Caribbean,GTM,0,1951
Guinea,Sub-Saharan Africa,GIN,0,1968
Guinea-Bissau,Sub-Saharan Africa,GNB,0,1957
Guyana,Latin America and Caribbean,GUY,0,1951
Honduras,Latin America and Caribbean,HND,0,1952
Hungary,Europe and Central Asia,HUN,0,1923
Iceland,Europe and Central Asia,ISL,0,1872
India,South Asia,IND,0,1975
Indonesia,East Asia and Pacific,IDN,0,1972
Iran,Middle East and North Africa,IRN,0,1972
Iraq,Middle East and North Africa,IRQ,0,1972
Ireland,Europe and Central Asia,IRL,0,1907
Israel,Middle East and North Africa,ISR,0,1920
Italy,Europe and Central Asia,ITA,0,1947
Japan,East Asia and Pacific,JPN,0,1951
Jordan,Middle East and North Africa,JOR,0,1925
Kazakhstan,Europe and Central Asia,KAZ,0,1936
Kenya,Sub-Saharan Africa,KEN,0,1969
Kyrgyzstan,Europe and Central Asia,KGZ,0,1936
Laos,East Asia and Pacific,LAO,0,1953
Latvia,Europe and Central Asia,LVA,0,1936
Lebanon,Middle East and North Africa,LBN,0,1949
Lesotho,Sub-Saharan Africa,LSO,0,1962
Liberia,Sub-Saharan Africa,LBR,0,1968
Libya,Middle East and North Africa,LBY,0,1948
Lithuania,Europe and Central Asia,LTU,0,1936
Madagascar,Sub-Saharan Africa,MDG,0,1918
Malawi,Sub-Saharan Africa,MWI,0,1971
Malaysia,East Asia and Pacific,MYS,0,1960
Mali,Sub-Saharan Africa,MLI,0,1968
Mauritania,Sub-Saharan Africa,MRT,0,1962
Mexico,Latin America and Caribbean,MEX,0,1951
Moldova,Europe and Central Asia,MDA,0,1936
Morocco,Middle East and North Africa,MAR,0,1948
Mozambique,Sub-Saharan Africa,MOZ,0,1969
Myanmar,East Asia and Pacific,MMR,0,1965
Namibia,Sub-Saharan Africa,NAM,0,1955
Nepal,South Asia,NPL,0,1975
Netherlands,Europe and Central Asia,NLD,0,1900
New Zealand,East Asia and Pacific,NZL,0,1914
Nicaragua,Latin America and Caribbean,NIC,0,1924
Niger,Sub-Saharan Africa,NER,0,1968
Nigeria,Sub-Saharan Africa,NGA,0,1970
North Korea,East Asia and Pacific,PRK,0,1946
North Macedonia,Europe and Central Asia,MKD,0,1925
Norway,Europe and Central Asia,NOR,0,1898
Oman,Middle East and North Africa,OMN,0,1962
Pakistan,South Asia,PAK,0,1974
Panama,Latin America and Caribbean,PAN,0,1922
Paraguay,Latin America and Caribbean,PRY,0,1960
Peru,Latin America and Caribbean,PER,0,1966
Philippines,East Asia and Pacific,PHL,0,1949
Poland,Europe and Central Asia,POL,0,1933
Portugal,Europe and Central Asia,PRT,0,1953
Romania,Europe and Central Asia,ROU,0,1923
Russia,Europe and Central Asia,RUS,0,1936
