Country,Individuals know that cookies can be used to trace movements of people on the internet (3 months),Individuals have ever changed the settings in their internet browser to prevent or limit cookies on any of their devices (3 months),Individuals use software that limits the ability to track their activities on the internet (3 months),Individuals manage access to personal data on the internet (3 months): read privacy policy statements before providing personal data,Individuals manage access to personal data on the internet (3 months): restricted or refused access to the geographical location,Individuals manage access to personal data on the internet (3 months): limited access to profile or content on social networking sites or shared online storage,Individuals manage access to personal data on the internet (3 months): refused allowing the use of personal data for advertising purposes,Individuals manage access to personal data on the internet (3 months): checked that the website where personal data provided was secure,"Individuals manage access to personal data on the internet (3 months): at least one of I_MAPS_RPS, I_MAPS_RRGL, I_MAPS_LAP, I_MAPS_RAAD, I_MAPS_CWSC"
Belgium,72,36,47,21,44,33,45,22,60
Bulgaria,53,15,9,34,20,18,19,7,47
Czech Republic,66,24,13,32,37,47,42,41,74
Denmark,88,39,26,34,62,48,60,44,82
Germany,79,42,18,39,36,30,44,21,63
Estonia,71,32,19,39,43,31,42,34,64
Ireland,73,40,27,37,59,46,58,48,79
Greece,57,28,18,37,34,26,39,23,59
Spain,69,33,15,40,53,55,64,48,76
France,77,30,23,23,56,35,55,45,71
Croatia,72,26,18,43,36,41,50,38,69
Italy,68,25,12,37,35,26,41,26,57
Cyprus,68,10,0,30,46,45,55,13,68
Latvia,65,24,11,44,38,34,36,31,61
Lithuania,67,23,14,36,32,31,37,20,55
Luxembourg,78,45,22,22,48,41,51,32,72
Hungary,82,28,19,42,37,31,36,19,64
Malta,57,26,28,36,47,50,46,55,72
Netherlands,89,48,29,41,74,58,72,59,86
Austria,77,38,21,48,44,41,56,44,76
Poland,65,26,19,29,35,30,34,22,50
Portugal,63,30,18,38,55,52,55,45,71
Romania,49,14,10,32,23,21,29,6,47
Slovenia,63,24,18,27,31,22,34,20,54
Slovakia,58,25,20,39,36,24,35,17,61
Finland,91,54,23,50,64,56,67,45,88
Sweden,78,35,26,32,61,42,48,30,75
